YEAR,Rainfall,Tmax,Tmean,Tmin,gLat,gLon,n_wells
2004,1101.56,29.003224043715846,23.055491803278688,18.53898907103825,11.5,76.875,36
2005,1121.5,28.975698630136986,23.309397260273972,19.031917808219177,11.5,76.875,36
2006,1081.91,28.734109589041097,22.88553424657534,18.51904109589041,11.5,76.875,36
2007,1216.13,28.796219178082193,23.031753424657534,18.570383561643833,11.5,76.875,36
2008,1058.7,28.75226775956284,22.719016393442622,18.270601092896175,11.5,76.875,36
2009,923.33,29.620849315068494,23.424301369863016,18.787068493150684,11.5,76.875,36
2010,1129.16,29.159561643835616,23.505917808219177,19.21986301369863,11.5,76.875,36
2011,954.36,29.148191780821918,22.988000000000003,18.40115068493151,11.5,76.875,36
2012,630.18,30.509453551912564,23.847704918032786,18.90311475409836,11.5,76.875,36
2013,923.1,29.6747397260274,23.60323287671233,19.003205479452056,11.5,76.875,36
2014,1022.34,29.353424657534248,23.501835616438356,18.984794520547943,11.5,76.875,36
2015,813.77,29.981506849315068,23.725616438356166,19.02276712328767,11.5,76.875,36
2016,544.7,31.372267759562842,24.473743169398904,19.27693989071038,11.5,76.875,36
2017,1015.03,29.524136986301368,23.510575342465756,18.891479452054796,11.5,76.875,36
2018,948.51,29.679506849315068,23.548767123287668,18.89358904109589,11.5,76.875,36
2019,1098.8,30.063698630136987,24.084575342465754,19.471808219178083,11.5,76.875,36
2020,957.78,29.65040983606557,23.76571038251366,19.281092896174865,11.5,76.875,36
2021,1392.52,28.37731506849315,22.99353424657534,18.964027397260274,11.5,76.875,36
2022,1291.6299999999999,28.581863013698626,23.02758904109589,18.830547945205478,11.5,76.875,36
2023,886.71,30.29104109589041,23.85619178082192,19.003917808219178,11.5,76.875,36
2024,1165.16,29.805491803278688,24.10912568306011,19.695245901639343,11.5,76.875,36
2025,896.75,29.52419178082192,23.490191780821917,19.04931506849315,11.5,76.875,36
1993,897.74,33.64320547945206,27.20158904109589,21.99904109589041,11.0,78.125,15
1994,741.89,33.06717808219178,26.698849315068493,21.691123287671232,11.0,78.125,15
1995,634.23,34.00115068493151,27.376602739726025,22.07104109589041,11.0,78.125,15
1996,854.2,33.62540983606557,27.062049180327868,21.75155737704918,11.0,78.125,15
1997,835.18,33.75572602739726,27.465972602739726,22.39041095890411,11.0,78.125,15
1998,773.33,33.90032876712329,27.72978082191781,22.73523287671233,11.0,78.125,15
1999,685.15,33.48898630136986,27.034109589041098,21.8206301369863,11.0,78.125,15
2000,816.29,33.659918032786884,27.2596174863388,22.091284153005464,11.0,78.125,15
2001,689.37,33.735643835616436,27.37109589041096,22.33178082191781,11.0,78.125,15
2002,550.59,34.706712328767125,27.871808219178078,22.45931506849315,11.0,78.125,15
2003,740.17,34.16698630136987,27.732931506849315,22.59131506849315,11.0,78.125,15
2004,975.21,33.05915300546448,26.809098360655735,21.76062841530055,11.0,78.125,15
2005,1102.93,33.1753698630137,27.249397260273973,22.503534246575345,11.0,78.125,15
2006,738.28,32.95479452054794,26.793205479452055,21.868849315068495,11.0,78.125,15
2007,766.9,33.76676712328767,27.323561643835617,22.116301369863013,11.0,78.125,15
2008,1033.28,32.739699453551914,26.55237704918033,21.619262295081967,11.0,78.125,15
2009,596.86,34.16372602739726,27.52104109589041,22.257068493150683,11.0,78.125,15
2010,975.99,33.68087671232877,27.503150684931505,22.608356164383558,11.0,78.125,15
2011,831.31,33.07408219178082,26.770931506849312,21.714849315068495,11.0,78.125,15
2012,671.1,34.07786885245902,27.50101092896175,22.23877049180328,11.0,78.125,15
2013,609.14,34.412684931506845,27.897534246575344,22.665013698630137,11.0,78.125,15
2014,653.01,34.25243835616438,27.73454794520548,22.563972602739728,11.0,78.125,15
2015,863.87,33.84493150684931,27.479917808219177,22.407150684931505,11.0,78.125,15
2016,381.71,35.55535519125683,28.500109289617487,22.87374316939891,11.0,78.125,15
2017,773.79,33.99994520547945,27.659342465753426,22.52282191780822,11.0,78.125,15
2018,677.47,34.13638356164384,27.495616438356162,22.235835616438354,11.0,78.125,15
2019,769.41,34.622273972602734,28.20695890410959,22.991890410958906,11.0,78.125,15
2020,864.52,33.90306010928962,27.693907103825136,22.685191256830603,11.0,78.125,15
2021,1142.1,32.48950684931507,26.707013698630135,22.097561643835615,11.0,78.125,15
2022,976.15,32.8698904109589,26.871506849315068,22.08753424657534,11.0,78.125,15
2023,778.33,34.36545205479452,27.79953424657534,22.555808219178083,11.0,78.125,15
2024,992.05,34.08617486338798,27.932540983606557,22.97584699453552,11.0,78.125,15
2025,715.77,33.712575342465755,27.42490410958904,22.504109589041096,11.0,78.125,15
1993,913.94,29.705287671232877,23.394027397260274,18.436136986301367,12.0,76.875,3
1994,883.1,29.781013698630137,23.389698630136987,18.527835616438356,12.0,76.875,3
1995,824.3100000000001,29.939863013698627,23.60909589041096,18.640136986301368,12.0,76.875,3
1996,977.77,29.731994535519124,23.393524590163935,18.30054644808743,12.0,76.875,3
1997,1014.5,29.823068493150686,23.766712328767124,18.966520547945205,12.0,76.875,3
1998,1044.27,29.817232876712332,23.95805479452055,19.292794520547943,12.0,76.875,3
1999,855.69,29.558821917808217,23.23495890410959,18.35290410958904,12.0,76.875,3
2000,849.12,29.95428961748634,23.509972677595627,18.508333333333333,12.0,76.875,3
2001,881.11,29.83586301369863,23.657808219178083,18.84564383561644,12.0,76.875,3
2002,709.95,30.818465753424658,24.13153424657534,18.918,12.0,76.875,3
2003,670.66,30.899424657534247,24.30380821917808,19.201671232876713,12.0,76.875,3
2004,1029.78,29.493142076502732,23.349262295081967,18.54016393442623,12.0,76.875,3
2005,1121.46,29.412301369863012,23.60619178082192,19.03495890410959,12.0,76.875,3
2006,932.58,29.573753424657536,23.321643835616438,18.58627397260274,12.0,76.875,3
2007,1133.88,29.379890410958904,23.383863013698633,18.57304109589041,12.0,76.875,3
2008,1058.84,29.20795081967213,22.968387978142076,18.25448087431694,12.0,76.875,3
2009,867.45,30.19021917808219,23.772301369863012,18.798794520547947,12.0,76.875,3
2010,1090.89,29.513315068493153,23.79158904109589,19.252602739726026,12.0,76.875,3
2011,829.33,29.981479452054796,23.445945205479454,18.471479452054794,12.0,76.875,3
2012,604.66,31.126120218579235,24.246967213114754,18.94969945355191,12.0,76.875,3
2013,927.85,30.07904109589041,23.887753424657536,18.987342465753425,12.0,76.875,3
2014,958.96,30.00578082191781,23.87887671232877,18.979150684931508,12.0,76.875,3
2015,790.39,30.528575342465754,24.017835616438358,18.93372602739726,12.0,76.875,3
2016,522.8100000000001,31.949153005464478,24.88551912568306,19.330601092896174,12.0,76.875,3
2017,967.75,30.04723287671233,23.81128767123288,18.849890410958903,12.0,76.875,3
2018,744.15,30.682986301369866,24.102739726027398,18.957616438356165,12.0,76.875,3
2019,985.37,30.701150684931505,24.476301369863016,19.480465753424657,12.0,76.875,3
2020,895.07,30.261857923497267,24.15825136612022,19.33311475409836,12.0,76.875,3
2021,1317.01,29.10035616438356,23.42791780821918,19.022520547945206,12.0,76.875,3
2022,1405.66,28.97956164383562,23.27717808219178,18.761890410958905,12.0,76.875,3
2023,754.27,31.088109589041096,24.303342465753424,19.07545205479452,12.0,76.875,3
2024,1055.84,30.629180327868855,24.640081967213117,19.842896174863387,12.0,76.875,3
2025,760.09,30.410958904109588,23.945369863013696,19.062356164383562,12.0,76.875,3
1993,858.27,30.89786301369863,24.47890410958904,19.35660273972603,12.0,77.5,3
1994,658.4,31.071095890410962,24.46101369863014,19.401945205479453,12.0,77.5,3
1995,704.71,31.080876712328767,24.657890410958903,19.53731506849315,12.0,77.5,3
1996,933.29,30.772349726775957,24.352786885245905,19.156939890710383,12.0,77.5,3
1997,877.39,31.018520547945204,24.754356164383562,19.83876712328767,12.0,77.5,3
1998,954.36,30.808191780821918,24.818301369863015,19.983945205479454,12.0,77.5,3
1999,772.99,30.77594520547945,24.24501369863014,19.130767123287672,12.0,77.5,3
2000,861.49,30.865901639344262,24.457622950819673,19.415273224043716,12.0,77.5,3
2001,815.24,30.926136986301373,24.622931506849316,19.71041095890411,12.0,77.5,3
2002,594.06,31.96890410958904,25.165178082191783,19.783506849315067,12.0,77.5,3
2003,628.98,32.00682191780822,25.35386301369863,20.138328767123287,12.0,77.5,3
2004,962.49,30.51174863387978,24.270655737704917,19.342349726775957,12.0,77.5,3
